Event,Sport,Slug
Taekwondo Women's Flyweight,Taekwondo,taekwondo-women-s-flyweight
Boxing Men's Flyweight,Boxing,boxing-men-s-flyweight
Basketball Women's Basketball,Basketball,basketball-women-s-basketball
Diving Men's Platform,Diving,diving-men-s-platform
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,canoeing-men-s-canadian-doubles-500-metres
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,canoeing-men-s-canadian-doubles-1000-metres
"Canoeing Men's Kayak Fours, 1,000 metres",Canoeing,canoeing-men-s-kayak-fours-1000-metres
Handball Men's Handball,Handball,handball-men-s-handball
Rowing Women's Coxless Pairs,Rowing,rowing-women-s-coxless-pairs
Boxing Men's Middleweight,Boxing,boxing-men-s-middleweight
Judo Men's Lightweight,Judo,judo-men-s-lightweight
Boxing Men's Featherweight,Boxing,boxing-men-s-featherweight
Tennis Men's Doubles,Tennis,tennis-men-s-doubles
Shooting Mixed Skeet,Shooting,shooting-mixed-skeet
"Wrestling Men's Featherweight, Freestyle",Wrestling,wrestling-men-s-featherweight-freestyle
Sailing Mixed Two Person Heavyweight Dinghy,Sailing,sailing-mixed-two-person-heavyweight-dinghy
Athletics Women's Shot Put,Athletics,athletics-women-s-shot-put
Rowing Men's Coxed Eights,Rowing,rowing-men-s-coxed-eights
Cycling Women's Sprint,Cycling,cycling-women-s-sprint
Cycling Women's 500 metres Time Trial,Cycling,cycling-women-s-500-metres-time-trial
Athletics Men's 110 metres Hurdles,Athletics,athletics-men-s-110-metres-hurdles
Shooting Mixed Trap,Shooting,shooting-mixed-trap
Athletics Women's Marathon,Athletics,athletics-women-s-marathon
Athletics Men's 100 metres,Athletics,athletics-men-s-100-metres
"Fencing Men's Foil, Team",Fencing,fencing-men-s-foil-team
"Fencing Men's Sabre, Team",Fencing,fencing-men-s-sabre-team
Swimming Men's 100 metres Freestyle,Swimming,swimming-men-s-100-metres-freestyle
Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,swimming-men-s-4-x-200-metres-freestyle-relay
Boxing Men's Lightweight,Boxing,boxing-men-s-lightweight
Modern Pentathlon Men's Individual,Modern Pentathlon,modern-pentathlon-men-s-individual
Boxing Men's Welterweight,Boxing,boxing-men-s-welterweight
Rowing Men's Quadruple Sculls,Rowing,rowing-men-s-quadruple-sculls
Rowing Men's Double Sculls,Rowing,rowing-men-s-double-sculls
Rowing Men's Coxed Pairs,Rowing,rowing-men-s-coxed-pairs
Athletics Men's 400 metres Hurdles,Athletics,athletics-men-s-400-metres-hurdles
Athletics Men's 400 metres,Athletics,athletics-men-s-400-metres
Athletics Men's Hammer Throw,Athletics,athletics-men-s-hammer-throw
Weightlifting Men's Featherweight,Weightlifting,weightlifting-men-s-featherweight
Athletics Men's 800 metres,Athletics,athletics-men-s-800-metres
Hockey Men's Hockey,Hockey,hockey-men-s-hockey
Alpine Skiing Women's Slalom,Alpine Skiing,alpine-skiing-women-s-slalom
Rowing Women's Single Sculls,Rowing,rowing-women-s-single-sculls
Swimming Men's 50 metres Freestyle,Swimming,swimming-men-s-50-metres-freestyle
Weightlifting Women's Featherweight,Weightlifting,weightlifting-women-s-featherweight
Water Polo Women's Water Polo,Water Polo,water-polo-women-s-water-polo
Figure Skating Men's Singles,Figure Skating,figure-skating-men-s-singles
Weightlifting Men's Heavyweight,Weightlifting,weightlifting-men-s-heavyweight
"Equestrianism Mixed Three-Day Event, Individual",Equestrianism,equestrianism-mixed-three-day-event-individual
